	image_paths	species
1	dataset/cropped/Abies concolor/0.jpg	Abies concolor
2	dataset/cropped/Abies concolor/1.jpg	Abies concolor
3	dataset/cropped/Abies concolor/2.jpg	Abies concolor
4	dataset/cropped/Abies concolor/3.jpg	Abies concolor
5	dataset/cropped/Abies concolor/4.jpg	Abies concolor
6	dataset/cropped/Abies concolor/5.jpg	Abies concolor
7	dataset/cropped/Abies concolor/6.jpg	Abies concolor
8	dataset/cropped/Abies concolor/7.jpg	Abies concolor
9	dataset/cropped/Abies concolor/8.jpg	Abies concolor
10	dataset/cropped/Abies concolor/9.jpg	Abies concolor
11	dataset/cropped/Abies concolor/10.jpg	Abies concolor
12	dataset/cropped/Abies concolor/11.jpg	Abies concolor
13	dataset/cropped/Abies concolor/12.jpg	Abies concolor
14	dataset/cropped/Abies concolor/13.jpg	Abies concolor
15	dataset/cropped/Abies concolor/14.jpg	Abies concolor
16	dataset/cropped/Abies concolor/15.jpg	Abies concolor
17	dataset/cropped/Abies concolor/16.jpg	Abies concolor
18	dataset/cropped/Abies concolor/17.jpg	Abies concolor
19	dataset/cropped/Abies concolor/18.jpg	Abies concolor
20	dataset/cropped/Abies concolor/19.jpg	Abies concolor
21	dataset/cropped/Abies concolor/20.jpg	Abies concolor
22	dataset/cropped/Abies concolor/21.jpg	Abies concolor
23	dataset/cropped/Abies concolor/22.jpg	Abies concolor
24	dataset/cropped/Abies concolor/23.jpg	Abies concolor
25	dataset/cropped/Abies concolor/24.jpg	Abies concolor
26	dataset/cropped/Abies concolor/25.jpg	Abies concolor
27	dataset/cropped/Abies concolor/26.jpg	Abies concolor
28	dataset/cropped/Abies concolor/27.jpg	Abies concolor
29	dataset/cropped/Abies concolor/28.jpg	Abies concolor
30	dataset/cropped/Abies concolor/29.jpg	Abies concolor
31	dataset/cropped/Abies concolor/30.jpg	Abies concolor
32	dataset/cropped/Abies concolor/31.jpg	Abies concolor
33	dataset/cropped/Abies concolor/32.jpg	Abies concolor
34	dataset/cropped/Abies concolor/33.jpg	Abies concolor
35	dataset/cropped/Abies concolor/34.jpg	Abies concolor
36	dataset/cropped/Abies concolor/35.jpg	Abies concolor
37	dataset/cropped/Abies concolor/36.jpg	Abies concolor
38	dataset/cropped/Abies concolor/37.jpg	Abies concolor
39	dataset/cropped/Abies concolor/38.jpg	Abies concolor
40	dataset/cropped/Abies concolor/39.jpg	Abies concolor
